Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
Initial [S] (uM),3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000,3.75,7.5,15,30,65,125,250,500,1000,2000
Time (s),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.014,0.024,0.185,0.36,0.74,0.765,1.657,2.137,0.044,1.907,0.065,0.066,0.252,0.053,0.285,0.491,0.403,0.599,2.1,0.208,0.003,0.011,0.039,0.019,0.37,0.208,0.661,1.173,1.458,0.56,0.001,0.037,0.086,0.069,0.037,0.701,0.516,0.191,1.98,1.722,0.045,0.092,0.174,0.165,0.174,0.27,0.91,2.145,1.789,0.686,0.006,0.008,0.238,0.538,0.452,0.466,0.261,0.924,0.02,0.45,0.045,0.055,0.076,0.466,0.032,0.284,2.127,0.2,0.023,2.98,0.008,0.039,0.127,0.013,0.12,0.18,0.038,1.503,3.023,4.039,0.04,0.146,0.014,0.317,0.909,1.272,0.842,0.202,4.322,0.886,0.088,0.078,0.05,0.197,1.238,0.592,2.763,3.137,0.636,1.544
2,0.074,0.179,0.155,0.371,0.65,0.257,1.127,2.392,1.552,1.681,0.019,0.08,0.283,0.679,0.854,0.862,2.261,2.205,0.587,0.472,0.016,0.025,0.137,0.284,0.4,0.003,0.776,0.397,0.284,1.99,0.008,0.005,0.153,0.264,0.002,0.475,1.046,1.125,0.792,1.775,0.047,0.004,0.311,0.505,0.894,0.927,0.776,0.895,3.775,1.842,0.082,0.175,0.207,0.12,0.302,0.145,0.529,2.824,3.514,4.103,0.008,0.04,0.237,0.068,0.714,1.67,1.448,0.472,2.914,4.756,0.084,0.144,0.231,0.208,0.74,0.916,0.906,3.078,0.193,1.297,0.08,0.079,0.024,0.584,0.725,0.381,2.425,2.934,3.078,3.418,0.014,0.267,0.227,0.413,0.787,0.668,2.466,3.376,3.788,1.135
3,0.068,0.139,0.123,0.786,1.449,2.117,3.088,1.38,2.748,3.047,0.094,0.17,0.395,0.419,0.463,1.045,1.372,3.691,2.01,2.544,0.031,0.071,0.068,0.291,0.47,0.829,0.434,1.27,2.205,3.426,0.036,0.058,0.08,0.209,0.54,0.798,1.016,2.274,2.351,1.57,0.108,0.056,0.444,0.292,0.348,1.7,0.892,2.41,3.467,2.82,0.113,0.191,0.409,0.571,1.197,1.199,3.361,4.577,5.03,2.982,0.08,0.106,0.357,0.518,0.954,1.879,2.303,4.273,2.383,4.953,0.063,0.106,0.165,0.164,0.522,1.138,2.24,3.634,4.142,2.117,0.196,0.298,0.323,1.305,1.456,0.976,5.274,4.207,6.777,5.842,0.155,0.209,0.361,0.603,1.711,1.564,3.343,5.494,3.12,1.781
4,0.15,0.14,0.371,0.397,1.685,2.407,3.394,3.725,4.957,2.441,0.141,0.113,0.226,0.426,1.006,1.937,2.923,3.671,2.427,3.747,0.041,0.082,0.197,0.308,0.616,1.119,0.81,2.914,1.61,2.637,0.05,0.104,0.175,0.318,0.59,1.008,1.583,1.907,1.754,2.928,0.099,0.291,0.37,0.669,0.75,1.913,1.567,2.948,5.855,5.879,0.131,0.275,0.319,0.478,0.765,1.822,2.131,2.587,6.078,2.95,0.08,0.144,0.404,0.79,1.126,1.801,2.772,6.354,4.639,7.573,0.064,0.206,0.335,0.656,0.651,2.758,2.664,2.59,3.949,7.538,0.178,0.459,0.55,1.024,1.756,4.322,5.273,7.519,7.393,5.128,0.168,0.257,0.39,0.684,2.898,2.006,3.732,2.909,5.895,7.25
5,0.081,0.322,0.362,0.675,1.044,3.093,3.396,5.213,2.614,4.755,0.107,0.187,0.643,0.813,1.638,1.398,2.321,4.904,3.842,4.875,0.045,0.117,0.211,0.231,0.62,1.377,2.392,3.35,3.712,4.171,0.066,0.058,0.245,0.244,0.798,1.381,1.915,3.554,3.439,2.276,0.132,0.249,0.375,0.848,2.25,1.638,3.623,5.726,6.529,6.523,0.078,0.181,0.514,0.579,1.674,2.89,2.935,6.332,7.091,7.449,0.097,0.197,0.259,0.72,2.01,1.909,2.648,6.169,5.527,6.595,0.103,0.241,0.358,0.805,1.213,1.825,3.821,4.62,6.208,5.082,0.137,0.52,0.52,0.938,3.548,5.036,3.628,6.775,5.124,9.656,0.153,0.467,0.75,1.777,1.855,4.403,6.524,8.117,8.618,9.997
6,0.107,0.202,0.604,0.924,2.238,2.049,4.691,3.444,5.486,4.37,0.171,0.258,0.619,1.398,2.178,2.904,3.538,3.743,4.374,5.969,0.073,0.145,0.304,0.309,0.91,1.068,1.637,2.431,4.768,4.588,0.056,0.092,0.238,0.331,0.68,1.479,1.907,3.471,4.874,4.398,0.137,0.273,0.463,1,2.711,3.294,5.496,4.995,5.249,8.339,0.134,0.35,0.543,1.019,2.168,2.452,2.99,5.44,5.922,7.994,0.107,0.277,0.434,0.754,1.819,3.441,3.913,4.318,5.678,7.669,0.13,0.311,0.58,1.064,2.32,3.124,3.618,8.363,6.801,7.236,0.299,0.338,1.128,1.068,2.757,5.158,6.2,5.392,7.536,9.417,0.256,0.537,0.637,1.382,2.663,4.57,6.484,7.315,8.16,9.715
7,0.178,0.333,0.792,1.033,1.673,3.932,4.564,3.818,5.045,8.065,0.146,0.26,0.705,1.502,1.909,3.285,3.616,5.949,5.275,6.251,0.063,0.159,0.344,0.637,1.159,1.821,2.868,4.64,5.029,5.031,0.083,0.115,0.261,0.632,1.244,1.739,2.431,3.112,5.652,3.697,0.175,0.458,0.65,1.069,2.118,3.615,4.567,7.695,7.125,7.895,0.129,0.312,0.643,1.127,2.233,3.503,5.476,7.838,5.925,8.788,0.142,0.236,0.496,1.177,2.476,3.209,6.299,8.244,10.378,7.314,0.168,0.269,0.428,1.333,2.624,3.951,4.764,8.816,10.709,9.366,0.26,0.453,1.377,1.427,4.635,5.712,7.022,10.235,11.669,8.289,0.223,0.574,0.906,1.477,4.55,6.503,6.612,8.647,11.776,11.313
