"NovelEnzymes, Inc",,,,,,,,,,
Reference Data (Clean),,,,,,,,,,
Enzyme: PGO-X50,,,,,,,,,,
,,,,,,,,,,
Assay number (test),1,2,3,4,5,6,7,8,9,10
[S] (uM),3.75,7.5,15,30,65,125,250,500,1000,2000
,,,,,,,,,,
Time (min),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM),[P] (uM)
0,0,0,0,0,0,0,0,0,0,0
1,0.031,0.061,0.121,0.209,0.389,0.636,0.923,1.248,1.399,1.599
2,0.061,0.122,0.241,0.417,0.775,1.269,1.843,2.494,2.796,3.197
3,0.091,0.182,0.36,0.623,1.16,1.898,2.76,3.736,4.191,4.794
4,0.121,0.242,0.478,0.828,1.541,2.524,3.673,4.975,5.584,6.39
5,0.151,0.301,0.595,1.032,1.921,3.147,4.582,6.211,6.976,7.984
6,0.18,0.36,0.712,1.234,2.298,3.767,5.489,7.444,8.365,9.577
7,0.209,0.418,0.827,1.435,2.673,4.384,6.392,8.674,9.752,11.169
8,0.238,0.476,0.941,1.634,3.046,4.997,7.292,9.901,11.138,12.759
9,0.267,0.534,1.055,1.832,3.417,5.608,8.188,11.124,12.521,14.348
10,0.295,0.59,1.167,2.028,3.785,6.215,9.081,12.345,13.902,15.936
11,0.323,0.647,1.279,2.223,4.151,6.819,9.971,13.563,15.282,17.523
12,0.351,0.703,1.389,2.417,4.515,7.421,10.857,14.777,16.66,19.108
13,0.379,0.758,1.499,2.609,4.877,8.019,11.74,15.989,18.035,20.692
14,0.407,0.813,1.608,2.801,5.237,8.614,12.62,17.197,19.409,22.275
15,0.434,0.868,1.716,2.99,5.594,9.206,13.497,18.403,20.781,23.857
16,0.461,0.922,1.823,3.179,5.95,9.795,14.37,19.605,22.151,25.437
17,0.488,0.976,1.93,3.366,6.303,10.381,15.241,20.805,23.519,27.016
18,0.515,1.029,2.035,3.552,6.654,10.964,16.108,22.001,24.885,28.594
19,0.541,1.082,2.14,3.736,7.003,11.544,16.971,23.195,26.249,30.17
20,0.567,1.134,2.243,3.919,7.35,12.121,17.832,24.385,27.612,31.745
21,0.593,1.186,2.346,4.101,7.695,12.696,18.69,25.573,28.972,33.319
22,0.619,1.238,2.448,4.282,8.038,13.267,19.544,26.757,30.331,34.892
23,0.645,1.289,2.55,4.461,8.379,13.835,20.395,27.939,31.687,36.464
24,0.67,1.34,2.65,4.639,8.717,14.401,21.243,29.118,33.042,38.034
25,0.695,1.39,2.75,4.816,9.054,14.963,22.088,30.293,34.395,39.603
26,0.72,1.44,2.849,4.992,9.389,15.523,22.929,31.466,35.745,41.17
27,0.745,1.49,2.947,5.166,9.721,16.08,23.768,32.636,37.094,42.737
28,0.769,1.539,3.044,5.34,10.052,16.634,24.604,33.803,38.442,44.302
29,0.794,1.587,3.14,5.512,10.381,17.185,25.436,34.967,39.787,45.866
30,0.818,1.636,3.236,5.682,10.707,17.734,26.265,36.128,41.13,47.429
31,0.842,1.683,3.331,5.852,11.032,18.279,27.092,37.286,42.472,48.99
32,0.865,1.731,3.425,6.021,11.355,18.822,27.915,38.442,43.811,50.55
33,0.889,1.778,3.518,6.188,11.676,19.362,28.735,39.594,45.149,52.109
34,0.912,1.825,3.611,6.354,11.995,19.9,29.552,40.744,46.485,53.667
35,0.936,1.871,3.703,6.519,12.312,20.434,30.366,41.891,47.819,55.223
36,0.959,1.917,3.794,6.683,12.627,20.966,31.177,43.034,49.151,56.778
37,0.981,1.963,3.884,6.845,12.941,21.496,31.986,44.175,50.481,58.332
38,1.004,2.008,3.974,7.007,13.252,22.022,32.791,45.314,51.81,59.885
39,1.026,2.053,4.063,7.167,13.561,22.546,33.593,46.449,53.136,61.437
40,1.049,2.097,4.151,7.326,13.869,23.067,34.392,47.581,54.461,62.987
41,1.071,2.141,4.239,7.485,14.175,23.586,35.188,48.711,55.784,64.536
42,1.093,2.185,4.326,7.642,14.479,24.102,35.982,49.838,57.105,66.084
43,1.114,2.229,4.412,7.798,14.781,24.615,36.772,50.962,58.424,67.63
44,1.136,2.272,4.497,7.953,15.082,25.126,37.56,52.083,59.741,69.175
45,1.157,2.314,4.582,8.106,15.38,25.634,38.344,53.201,61.057,70.719
46,1.178,2.357,4.666,8.259,15.677,26.139,39.126,54.317,62.37,72.262
47,1.199,2.399,4.749,8.411,15.972,26.642,39.905,55.43,63.682,73.804
48,1.22,2.44,4.832,8.561,16.265,27.142,40.681,56.54,64.992,75.344
49,1.241,2.482,4.914,8.711,16.557,27.64,41.454,57.647,66.3,76.883
50,1.261,2.523,4.995,8.859,16.847,28.135,42.224,58.752,67.606,78.421
51,1.282,2.563,5.076,9.007,17.135,28.628,42.991,59.853,68.911,79.958
52,1.302,2.604,5.156,9.153,17.421,29.118,43.756,60.952,70.213,81.493
53,1.322,2.644,5.236,9.299,17.706,29.606,44.517,62.049,71.514,83.027
54,1.342,2.683,5.314,9.443,17.989,30.091,45.276,63.142,72.813,84.56
55,1.361,2.723,5.392,9.586,18.27,30.574,46.032,64.233,74.11,86.092
56,1.381,2.762,5.47,9.729,18.549,31.055,46.786,65.321,75.405,87.623
57,1.4,2.8,5.547,9.87,18.827,31.533,47.536,66.406,76.699,89.152
